source,target,context
BearingFlagDescription,Rally the troops. Fly your faction’s standard to support the rank and file.,PlayerEquipment
ConstructingHammerDescription,"Construct player-built defences, repair artillery or gently tap an unsuspecting fellow’s head. Press ‘{0}’ to equip the hammer and start constructing defences.",PlayerEquipment
CannonRamRodDescription,"Make ready the guns. Ram field guns, long guns and artillery pieces or valiantly attempt to fend off enemies with it.",PlayerEquipment
SpadeDescription,Digging tool. Make use of it to raise earthworks and bolster your team’s defences.,PlayerEquipment
BoardingPikeDescription,Fend off enemy crewman aboard your ship’s deck. Make use of its range to your advantage.,PlayerEquipment
CannonRamRod,Ram Rod,PlayerEquipment
Keys,English,PlayerTraits
Navigator,Navigator,PlayerTraits
NavigatorDescription,Navigator of the high seas. You improve the maneuverability of the naval vessel your are commanding by {0}%.,PlayerTraits
AbleSwimmer,Able Swimmer,PlayerTraits
AbleSwimmerDescription,Lightly equipped. Your swimming speed is increased by {0}%.,PlayerTraits
Distinguishable,Distinguishable,PlayerTraits
DistinguishableDescription,Stand out from the rank and file. You appear differently on the mini-map.,PlayerTraits
Resilient,Resilient,PlayerTraits
ResilientDescription,A strong sense of duty. Melee damage dealt to you by other players is reduced by {0}%.,PlayerTraits
Armoured,Armoured,PlayerTraits
ArmouredDescription,Equipped with a cuirass that protects you from musket and pistol fire. You are guranteed to survive a single shot by a firearm.,PlayerTraits
LightFooted,Light Footed,PlayerTraits
LightFootedDescription,Fast and nimble. Your running speed is increased by {0}% but you deal less damage with melee weapons.,PlayerTraits
SkilfulRider,Skilful Rider,PlayerTraits
SkilfulRiderDescription,Well-versed in the art of horseback riding. Your speed while riding a horse is increased by {0}%.,PlayerTraits
ChosenMan,Chosen Men,PlayerTraits
ChosenManDescription,The prestigious 95th. You're a chosen man! It makes you feel special.,PlayerTraits
Marksman,Marksman,PlayerTraits
MarksmanDescription,Crack-shot. Your accuracy when using firearms is increased by {0}% but your reload speed is decreased by {1}%.,PlayerTraits
Skirmisher,Skirmisher,PlayerTraits
SkirmisherDescription,Drilled with knowledge on skirmishing tactics. Your accuracy when using firearms while crouching is increased by {0}% but you receive more damage when stricken by melee weapons.,PlayerTraits
EliteInfantry,Elite Infantry,PlayerTraits
EliteInfantryDescription,Heavily trained and experienced. The damage that you deal with melee weapons is increased by {0}%. You wield a musket with greater melee range than others.,PlayerTraits
MountedFirearmSpecialisation,Mounted Firearm Specialisation,PlayerTraits
MountedFirearmSpecialisationDescription,Experienced with the use of firearms while on horseback. Your damage when firing pistols and carbines from horseback is increased by {0}%.,PlayerTraits
MountedSwordSpecialisation,Mounted Sword Specialisation,PlayerTraits
MountedSwordSpecialisationDescription,Drilled in various sword combat techniques while on horseback. Your damage when wielding a sword while on horseback is increased by {0}%.,PlayerTraits
MusketSpecialisation,Musket Specialisation,PlayerTraits
MusketSpecialisationDescription,Excels with the use of muskets. Your damage when firing a musket is increased by {0}%. You also deal {1}% more damage when striking with a bayonet.,PlayerTraits
BayonetSpecialisation,Bayonet Specialisation,PlayerTraits
BayonetSpecialisationDescription,Excels with the use of bayonets. Your damage when striking with a bayonet is increased by {0}%.,PlayerTraits
BlunderbussSpecialisation,Blunderbuss Specialisation,PlayerTraits
BlunderbussSpecialisationDescription,Excels with the use of blunderbusses. Your damage when firing a blunderbuss is increased by {0}% and accuracy by {1}%.,PlayerTraits
PistolSpecialisation,Pistol Specialisation,PlayerTraits
PistolSpecialisationDescription,Excels with the use of pistols. Your damage when firing a pistol is increased by {0}% and accuracy by {1}%.,PlayerTraits
PikeSpecialisation,Pike Specialisation,PlayerTraits
PikeSpecialisationDescription,Excels with the use of boarding pikes. Your damage when wielding a pike increased by {0}%.,PlayerTraits
SwordSpecialisation,Sword Specialisation,PlayerTraits
SwordSpecialisationDescription,Excels with the use of swords. Your damage when wielding a sword is increased by {0}%.,PlayerTraits
AxeSpecialisation,Axe Specialisation,PlayerTraits
AxeSpecialisationDescription,"Excels with the use of axes. Your damage when wielding an axe is increased by {0}%. Your damage is also significantly increased when destroying player-built defences, doors and other military works.",PlayerTraits
ExplosivesSpecialist,Explosives Specialist,PlayerTraits
ExplosivesSpecialistDescription,Trained with the use of volatile explosives. The rate at which you move while carrying explosives is increased by {0}%.,PlayerTraits
CannonSpecialisation,Cannon Specialisation,PlayerTraits
CannonSpecialisationDescription,Excels with the use and firing of cannons and mortars. Your ramming and pushing speed is increased by {0}%.,PlayerTraits
RocketSpecialisation,Rocket Specialisation,PlayerTraits
RocketSpecialisationDescription,Excels with the use and firing of rockets. Your loading speed is increased by {0}%.,PlayerTraits
RankDiscipline,Rank Discipline,PlayerTraits
RankDisciplineDescription,Drilled and disciplined in the art of firing whilst in formation. Your accuracy when crouched and shooting with a firearm is increased by {0}%.,PlayerTraits
Traits,Traits,PlayerTraits
Keys,English,Scoreboard
D,D,Scoreboard
K,K,Scoreboard
Player,Player,Scoreboard
Players,Players,Scoreboard
S,S,Scoreboard
Score Board,Score Board,Scoreboard
Keys,English,VoicesAndShouts
SelectAShoutToPlay,Select a shout to play,VoicesAndShouts
SelectASongToPlay,Select a song to play,VoicesAndShouts
SailingAndNavigation,Sailing & Navigation,VoicesAndShouts
GunsAndRocketDrills,Guns & Rocket Drills,VoicesAndShouts
MusketDrills,Musket Drills,VoicesAndShouts
Interactions,Interactions,VoicesAndShouts
Keys,English,Interactable Objects
Aim Cannon,Aim Cannon,Interactable Objects
Aim Rocket,Aim Rocket Launcher,Interactable Objects
Assist Build Object,Build Emplacement - Assist,Interactable Objects
Assist Repair Object,Repair Emplacement - Assist,Interactable Objects
Build Object,Build Emplacement,Interactable Objects
Cancel Launch Rowboat,Cancel Launch Rowboat,Interactable Objects
Cancel Load Ammo,Cancel Load Ammo,Interactable Objects
Cancel Load Rocket Ammo,Cancel Loading Rocket,Interactable Objects
Cancel Packing Rocket Rack,Cancel Packing Rocket Launcher,Interactable Objects
Cancel Ram Ammo,Cancel Ram Ammo,Interactable Objects
Cancel Unpacking Rocket Rack,Cancel Unpacking Rocket Launcher,Interactable Objects
CancelDefuseExplosiveBarrel,Cancel Defuse Explosive Barrel,Interactable Objects
Carry Ladder,Carry Ladder,Interactable Objects
Carry Rocket Rack,Carry Rocket Launcher,Interactable Objects
CarrySwivelGunBarrel,Carry Swivel Gun,Interactable Objects
CancelCarrySwivelGunBarrel,Cancel Carry Swivel Gun,Interactable Objects
Climb,Climb,Interactable Objects
Close,Close,Interactable Objects
Damage Object,Hit Emplacement,Interactable Objects
Deconstruct Object,Deconstruct Emplacement,Interactable Objects
DefuseExplosiveBarrel,Defuse Explosive Barrel,Interactable Objects
Drop Ladder,Drop Ladder,Interactable Objects
Fire Cannon,Fire Cannon,Interactable Objects
Fire Rocket,Fire Rocket,Interactable Objects
FireamRefillCancel,Cancel Refill Ammo,Interactable Objects
FirearmRefill,Pick {0} {1} Cartridges [{2}],Interactable Objects
FirearmRefillGeneric,Pick {0} Firearm Cartridges [{1}],Interactable Objects
FullFirearmWeapons,You Can't Carry More Firearms,Interactable Objects
FullMeleeWeapons,You Can't Carry More Melee Weapons,Interactable Objects
GunNotFoundForThatAmmo,You Don't Have A {0},Interactable Objects
GunNotSuitable,Equip Your Firearm,Interactable Objects
Hold,Hold,Interactable Objects
Launch Rowboat,Launch Rowboat,Interactable Objects
LeftClick,Left-Click,Interactable Objects
Load Ladder,Raise Ladder,Interactable Objects
NoAmmoRemaining,No More Ammo Remaining,Interactable Objects
NoAmmoRemainingForYou,You Took Your Share,Interactable Objects
NoAmmoRequired,You're Full On {0} Ammo,Interactable Objects
NoMoreWeaponRemaining,No More {0} Remaining,Interactable Objects
Open,Open,Interactable Objects
Pack Rocket Rack,Pack Rocket Launcher,Interactable Objects
PickupWeapon,Pick {0} [{1}],Interactable Objects
PickupWeaponCancel,Cancel Pick {0},Interactable Objects
Place Object,Place Emplacement,Interactable Objects
Play,Play,Interactable Objects
PlayInworldSoundBell,Ring Bell,Interactable Objects
PlayInworldSoundChurchBell,Ring Bell,Interactable Objects
PlayInworldSoundShipBell,Ring Bell,Interactable Objects
Press,Press,Interactable Objects
Pump,Pump,Interactable Objects
Push Cannon,Push Cannon,Interactable Objects
Release,Release,Interactable Objects
Repair Object,Repair Emplacement,Interactable Objects
Sail Ship,Sail Ship,Interactable Objects
Set Assist Ladder Moveable,Move Ladder - Assist,Interactable Objects
Set Assist Movable,Move Cannon - Assist,Interactable Objects
Set Assist Rocket Moveable,Carry Rocket Launcher - Assist,Interactable Objects
Set Load Ammo,Load Ammo,Interactable Objects
Set Load Rocket Ammo,Load Rocket,Interactable Objects
Set Movable,Move Cannon,Interactable Objects
Set Ram Ammo,Ram Ammo,Interactable Objects
Sit,Sit,Interactable Objects
Stop Assist Ladder Moveable,Stop Move Ladder - Assist,Interactable Objects
Stop Assist Moving,Stop Moving Cannon - Assist,Interactable Objects
Stop Assist Rocket Moveable,Stop Carrying Rocket Launcher - Assist,Interactable Objects
Stop Carrying Rocket Rack,Stop Carrying Rocket Launcher,Interactable Objects
Stop Moving,Stop Moving Cannon,Interactable Objects
Turn Off,Turn Off,Interactable Objects
Turn On,Turn On,Interactable Objects
Unload Ladder,Lower Ladder,Interactable Objects
Unpack Rocket Rack,Unpack Rocket Launcher,Interactable Objects
Use ammo box,Use Ammo Box,Interactable Objects
Use rocket stack,Use Rocket Stack,Interactable Objects
UseExplosiveBarrel,Use Explosive Barrel,Interactable Objects
UseLanternBox,Use Lantern Box,Interactable Objects
UseSpyglassBox,Use Spyglass Box,Interactable Objects
Wait,Wait,Interactable Objects
WeaponNotFound,You Can't Use A {0},Interactable Objects
YouAlreadyHaveThatWeapon,You Already Have A {0},Interactable Objects
Keys,English,PlayerRoles
TheArmy,The Army,PlayerRoles
TheNavy,The Navy,PlayerRoles
TheCoastGuard,The Coast Guard,PlayerRoles
Command,Command,PlayerRoles
RankFile,Rank & File,PlayerRoles
Skirmisher,Skirmisher,PlayerRoles
Artillery,Artillery,PlayerRoles
Cavalry,Cavalry,PlayerRoles
Crewman,Crewman,PlayerRoles
Support,Support,PlayerRoles
Keys,English,PlayerClassDescriptions
ArmyLineInfantry,Steadfast. Well trained with the use of muskets.,PlayerClassDescriptions
NavalMarine,Marine. Repels boarders and headways coastal invasions.,PlayerClassDescriptions
NavalCaptain,Authority aboard a vessel. Commands the ship’s crew.,PlayerClassDescriptions
NavalSailor,Ship’s crew. Cutlass is their primary weapon of choice.,PlayerClassDescriptions
NavalSailor2,Veteran crewman. Spots enemy ships at the distance.,PlayerClassDescriptions
ArmyInfantryOfficer,Leads his men to victory. Commands the rank and file.,PlayerClassDescriptions
CoastGuard,Guards fortifications. Muskets and cannon are his forte.,PlayerClassDescriptions
Carpenter,Axe wielder. Great at destroying enemy emplacements.,PlayerClassDescriptions
Surgeon,Studies medicine. Supports allied troops by healing them.,PlayerClassDescriptions
Rifleman,Sharpshooter. Picks infantryman from a distance.,PlayerClassDescriptions
LightInfantry,Quick footed skirmisher. Moves about at a greater pace.,PlayerClassDescriptions
FlagBearer,Standard bearer. Supports the rank and file with bonuses.,PlayerClassDescriptions
Customs,Skirmisher on patrol. Moves about at a greater pace.,PlayerClassDescriptions
Drummer,Plays fine melodies. Supports the rank and file with bonuses.,PlayerClassDescriptions
Fifer,Plays fine melodies. Supports the rank and file with bonuses.,PlayerClassDescriptions
Guard,Elite infantry. Guards the high-command and excel in melee.,PlayerClassDescriptions
Violinist,Plays fine melodies. Supports the rank and file with bonuses.,PlayerClassDescriptions
Grenadier,Largest of soldiers. Increased melee survivability.,PlayerClassDescriptions
Bagpiper,Plays fine melodies. Supports the rank and file with bonuses.,PlayerClassDescriptions
ArmyLineInfantry2,Steadfast. Well trained with the use of muskets.,PlayerClassDescriptions
Cannoneer,Cannoneer. Great at destroying fortified emplacements.,PlayerClassDescriptions
Rocketeer,Rocketeer. Great at destroying fortified emplacements.,PlayerClassDescriptions
Sapper,Constructs defensive works. Supports allied troops.,PlayerClassDescriptions
Hussar,Well-dressed. Great showmanship with swords on horseback.,PlayerClassDescriptions
Dragoon,Mounted infantryman. Carabineers on horseback.,PlayerClassDescriptions
Keys,English,Ammo Values
Carcass Rocket,Carcass Rocket,Ammo Values
Carry Ammo Requirements,Requires Cannoneer or Rocketeer class,Ammo Values
Carry Ammobox,Carry Ammo,Ammo Values
Carry Rocket Ammobox,Carry Stack,Ammo Values
Carry Rocket Stack Requirements,Requires Cannoneer or Rocketeer class,Ammo Values
Carry the ammo box around,Carry the ammo box around,Ammo Values
Carry the rocket ammo box around,Carry the rocket stack around,Ammo Values
CarryExplosiveBarrel,Carry Explosives,Ammo Values
CarryExplosiveBarrel Description,Carry the explosive barrel around,Ammo Values
CarryExplosiveBarrel Requirements,Requires Sapper or Carpenter class,Ammo Values
Case Rocket,Case Rocket,Ammo Values
Chain Shot,Chain Shot,Ammo Values
Grape Shot L,Grape Shot (L),Ammo Values
Grape Shot S,Grape Shot (S),Ammo Values
IgniteExplosiveBarrel,Ignite,Ammo Values
IgniteExplosiveBarrel Description,Ignite the fuse,Ammo Values
Lantern,Lantern,Ammo Values
Lantern Description,Devastating weapon of mass destruction,Ammo Values
Long range solid iron shot,Long range solid iron shot,Ammo Values
Mass of small solid iron shots,Mass of small solid iron shots,Ammo Values
Round Shot,Round Shot,Ammo Values
Shell Rocket,Shell Rocket,Ammo Values
Shell Rocket Description,A spherical head filled with black powder,Ammo Values
Spyglass,Spyglass,Ammo Values
Spyglass Description,Spot folk at a distance,Ammo Values
Tears sails and cuts rigging,Tears sails and cuts rigging,Ammo Values
Keys,English,Game Mode Information Panel
Attacker Objectives,Attacker Objectives,Game Mode Information Panel
Defender Objectives,Defender Objectives,Game Mode Information Panel
Game Info,Game Info,Game Mode Information Panel
Game Mode,Game Mode,Game Mode Information Panel
Game Type,Game Type,Game Mode Information Panel
Game Type  Hardcore,Game Type - Hardcore,Game Mode Information Panel
Objectives,Objectives,Game Mode Information Panel
Round Details,Round Details,Game Mode Information Panel
Game Objectives,Game Objectives,Game Mode Information Panel
Keys,English,Hardcore Game Type Information 
Enemies dont show on the minimap when they fire their weapons Pay attention to your surroundings,Enemies don't show on the minimap when they fire their weapons. Pay attention to your surroundings!,Hardcore Game Type Information 
Friendlies are only shown on the minimap at a close distance Officers must pay close attention to the ongoings on the battlefield,Friendlies are only shown on the minimap at a close distance. Officers must pay close attention to the on-goings on the battlefield!,Hardcore Game Type Information 
Your accuracy with firearms over long distances is reduced The distance at which you engage your enemy is vital to increase your success at hitting your target,Your accuracy with firearms over long distances is reduced. The distance at which you engage your enemy is vital to increase your success at hitting your target!,Hardcore Game Type Information 
Your ammunition is limited Every shot counts,Your ammunition is limited. Every shot counts!,Hardcore Game Type Information 
Keys,English,Game Mode Information Details
Brawl,An all-out brawl! Reach a set number of kills to become victorious.,Game Mode Information Details
AttackersCapturePrimaryObjects,Attackers! Capture all primary objectives before the timer runs out. Co-ordinate assaults and use artillery to breach defences. Loss of life from the ‘forlorn hope’ is a necessary sacrifice.,Game Mode Information Details
InvadersCaptureEnemyFortification,Invaders! Capture the opposing faction’s fortification. Make good use of rockets and cannon to breach defensive positions before marines and crewman land ashore.,Game Mode Information Details
ControlAndConquer,Control and conquer! Defend and capture objectives around the map to become victorious. ,Game Mode Information Details
DefendersPreventAssaultingForces,Defenders! Prevent the assaulting forces from capturing your primary objectives. You need to survive until the round timer runs out with limited reinforcement. Make good use of cover.,Game Mode Information Details
DefendersPreventInvadingForces,Defenders! Prevent the invading forces from capturing your coastal fortification. Your reinforcements are limited. Man the fort's guns and keep the invaders at bay.,Game Mode Information Details
EveryoneIsYourEnemy,Everyone is your enemy. This also includes players from the same faction.,Game Mode Information Details
GatherTickets,Gather tickets! Control more objectives than the enemy to gather tickets. This is key to winning the match.,Game Mode Information Details
LastStand,Last stand! One last chance at turning things in your favour once reinforcements deplete.,Game Mode Information Details
LimitedReinforcements,"Limited reinforcements! Be sure to strategise and co-ordinate. If they deplete, you’ll be unable to spawn anymore.",Game Mode Information Details
PlayTogetherCoordinateAssaults,Play together! Co-ordinate assaults and devise strategies. Objectives cannot be captured unless your team is in greater numbers.,Game Mode Information Details
SailWithTheWind,Sail with the wind! The direction of the arrow on the minimap determines the direction the wind is coming from. Turn the tide of battle in your favour.,Game Mode Information Details
RaiseSailsAndLowerThem,Set sail! Raise sails by pressing [{0}] and lower them by pressing [{1}].,Game Mode Information Details
SingleLife,Single life! You will have to wait for the round to finish before you can respawn should you meet your end. Make sure to use it well.,Game Mode Information Details
SinkEnemyShips,Sink enemy ships! Make good use of chain and round shot to sink enemy vessels. Work with your crew mates towards this goal.,Game Mode Information Details
SpawningInWaves,Spawning in waves. Use this as an opportunity to assemble and organise.,Game Mode Information Details
Spyglass,Use a spyglass to identify friend from foe. All naval vessels fly the colours of their affiliated faction.,Game Mode Information Details
MeleeCombat,Best your opponents in the melee arena! Devise strategies and time your strikes. Blocking is key to winning the match.,Game Mode Information Details
Rowboats,Ships don’t respawn once sunk! Use rowboats to board and crew allied ships should your vessel find its way to the bottom of the ocean floor.,Game Mode Information Details
Keys,English,Factions
French Empire,French Empire,Factions
Kingdom of Prussia,Kingdom of Prussia,Factions
United Kingdom,United Kingdom,Factions
Austria,Austrian Empire,Factions
Russia,Russian Empire,Factions
Spain,Spain,Factions
OttomanEmpire,Ottoman Empire,Factions
ConfederationOfTheRhine,Confederation of the Rhine,Factions
Keys,English,Factions Alternative
British,British,Factions Alternative
French,French,Factions Alternative
Prussians,Prussians,Factions Alternative
Austrians,Austrians,Factions Alternative
Russians,Russians,Factions Alternative
Spanish,Spanish,Factions Alternative
Ottomans,Ottomans,Factions Alternative
RhineConfederation,Rhine Confederation,Factions Alternative
Keys,English,Map Names
AncientPlains,Ancient Plains,Map Names
ArcticSea,Arctic Sea,Map Names
ArendanRiver,Arendan River,Map Names
BalamorBay,Balamor Bay,Map Names
BlackForest,Black Forest,Map Names
CampSalamanca,Camp Salamanca,Map Names
Canyon,Canyon,Map Names
Caribbean,Caribbean,Map Names
CastleArena,Castle Arena,Map Names
Causeways,Causeways,Map Names
ColonialTown,Colonial Town,Map Names
CrossHills,Cross Hills,Map Names
DesertPlains,Desert Plains 1 (L),Map Names
DesertPlainsSmall,Desert Plains 1 (S),Map Names
DesertRuins,Desert Ruins,Map Names
DutchCanals,Dutch Canals,Map Names
Egypt,Tahir Desert,Map Names
ErnestRidge,Ernest Ridge,Map Names
FortArena,Fort Arena,Map Names
FortChristiana,Fort Christina,Map Names
FortNational,Fort Imperial,Map Names
FortPierre,Fort Pierre,Map Names
FortSalettes,Fort Salettes,Map Names
FortSchwarz,Fort Schwarz,Map Names
FortWinston,Fort Winston,Map Names
GarrisonArena,Garrison Arena,Map Names
GrassyPlains,Grassy Plains 1 (L),Map Names
GrassyPlainsII,Grassy Plains 2 (L),Map Names
GrassyPlainsIII,Grassy Plains 3 (L),Map Names
HaroutiIslands,Harouti Islands,Map Names
Highlands,Highlands,Map Names
KingGeorge,King George,Map Names
LighthouseIslands,Lighthouse Islands,Map Names
Linburg,Linburg,Map Names
MartelloTower,Martello Tower,Map Names
Matanzas,Fort Matanzas,Map Names
PalisadeArena,Palisade Arena,Map Names
RandomWaters,Open Waters,Map Names
SacredArena,Sacred Arena,Map Names
SanMarcos,San Marcos,Map Names
Sharpton,Sharpton,Map Names
SnowyPlains,Snowy Plains 1 (L),Map Names
SnowyPlainsII,Snowy Plains 2 (L),Map Names
SnowyPlainsIII,Snowy Plains 3 (L),Map Names
SnowyPlainsIV,Snowy Plains 4 (L),Map Names
SnowyPlainsSmall,Snowy Plains 1 (S),Map Names
SnowyPlainsV,Snowy Plains 5 (L),Map Names
SouthSeaCastle,South Sea Castle,Map Names
SpanishFarm,Spanish Farm,Map Names
TestLevel,In Testing,Map Names
TestLevelII,In Testing,Map Names
TestLevelIII,In Testing,Map Names
TrainingGrounds,Training Grounds,Map Names
WatchtowerArena,Watchtower Arena,Map Names
TestLevelIV,In Testing,Map Names
CustomMap,Custom Map,Map Names
Keys,English,Capture Spawn Section Progress 
Capturing,Capturing,Capture Spawn Section Progress 
Contested,Contested,Capture Spawn Section Progress 
The 0 are capturing 1,The {0} are capturing {1},Capture Spawn Section Progress 
The 0 have captured 1,The {0} have captured {1},Capture Spawn Section Progress 
Keys,English,Top Info Bar
Next wave in,Next wave spawns in,Top Info Bar
Reinforcements,Reinforcements,Top Info Bar
Keys,English,Main Menu
Crews  Regiments,Crews & Regiments,Main Menu
Exit,Exit,Main Menu
Language,Language,Main Menu
Play,Play,Main Menu
Settings,Settings,Main Menu
Tournaments,Tournaments,Main Menu
Leaderboards,Leaderboards,Main Menu
MyPosition,My Position,Main Menu
Rank,Rank,Main Menu
Global,Global,Main Menu
Class,Class,Main Menu
Melee,Melee,Main Menu
Regiment,Regiment,Main Menu
Crew,Crew,Main Menu
Medals,Medals,Main Menu
XP,XP,Main Menu
Player,Player,Main Menu
Score,Score,Main Menu
Keys,English,Round Players Control Panel
Are you sure you want to ban,Are you sure you want to ban,Round Players Control Panel
Are you sure you want to chat mute,Are you sure you want to chat mute,Round Players Control Panel
Are you sure you want to kick,Are you sure you want to kick,Round Players Control Panel
Are you sure you want to kill,Are you sure you want to kill,Round Players Control Panel
Are you sure you want to voip mute,Are you sure you want to voip mute,Round Players Control Panel
Ban,Ban,Round Players Control Panel
ChatMute,Chat,Round Players Control Panel
"ID","ID",Round Players Control Panel
Kick,Kick,Round Players Control Panel
Kill,Kill,Round Players Control Panel
Message,PM,Round Players Control Panel
Name,Name,Round Players Control Panel
Reason,Reason,Round Players Control Panel
Round Players,Round Players,Round Players Control Panel
VoipMute,Voip,Round Players Control Panel
Keys,English,Round Objectives
Capture 0,Capture {0},Round Objectives
Capture and Defend objectives,Capture And Defend Objectives,Round Objectives
Control more objectives to gather tickets,Control More Objectives To Gather Tickets,Round Objectives
DamageSplit,Damage Reflective: {0}%,Round Objectives
Defend 0,Defend {0},Round Objectives
Eliminate enemy crewmen,Eliminate Enemy Crewmen,Round Objectives
Eliminate enemy reinforcements,Eliminate Enemy Reinforcements,Round Objectives
Eliminate enemy troops,Eliminate Enemy Troops,Round Objectives
Eliminate other players,Eliminate Other Players,Round Objectives
FriendlyFireDisabled,Damage Friendly Players: No,Round Objectives
FriendlyFireEnabled,Damage Friendly Players: Yes,Round Objectives
Melee weapons only,Melee Weapons Only,Round Objectives
Optional,Optional,Round Objectives
Single life,Single Life,Round Objectives
Sink enemy ships,Sink Enemy Ships,Round Objectives
Reinforce,Reinforce,Round Objectives
Charge,Charge!,Round Objectives
FormLine,Waiting For Order,Round Objectives
BreakRankAndFollow,Break Rank & Follow,Round Objectives
FireAtWill,Fire At Will!,Round Objectives
MakeReady,Make Ready,Round Objectives
Fire,Fire!,Round Objectives
CeaseFire,Cease Fire,Round Objectives
Officer_Orders,Officer's Orders,Round Objectives
Keys,English,Spectating Panel
Spectating,Spectating,Spectating Panel
Stop Spectating,Stop Spectating,Spectating Panel
Keys,English,Chat Panel
Admin,Admin,Chat Panel
Arty,Arty,Chat Panel
Enter text,Enter text...,Chat Panel
Musicians,Musicians,Chat Panel
Officers,Officers,Chat Panel
Press,Press,Chat Panel
Recruitment,Recruit,Chat Panel
Riflemen,Riflemen,Chat Panel
Round,All,Chat Panel
Team,Team,Chat Panel
to chat,to chat,Chat Panel
Keys,English,Game Tips
Tip,Tip,Game Tips
TipAdminHelp,Request the assistance of an official server administrator on Discord. Use the 'report-a-player' channel. A link to the Discord can be found in the pause menu by pressing the [{0}] key.,Game Tips
TipDiscordCommunity,Participate in organised events! Join the community Discord. A link to the Discord can be found in the pause menu by pressing the [{0}] key.,Game Tips
TipAutoRun,Press the [{0}] key to auto run.,Game Tips
TipCameraMode,Switch back and forth 1st and 3rd person views by pressing the [{0}] key.,Game Tips
TipCannonExplode,Loaded cannons will explode when destroyed. You better watch out!,Game Tips
TipCaptainPoints,Captains gather score for each and every shot that successfully hits an enemy vessel.,Game Tips
TipChainShot,Make use of chain shot to demast a ship. It is more effective than round shot for this task.,Game Tips
TipCombatMode,Press [{0}] to go into melee. Slide your mouse towards your desired direction then left click to strike or right click to block.,Game Tips
TipMapBorders,You cannot endlessly sail the seven seas! Borders contain the engagement in a specific location.,Game Tips
TipMuteVoip,Press [{0}] to mute specific individuals through VoIP.,Game Tips
TipMuteChat,Press [{0}] to mute specific individuals through chat.,Game Tips
TipOrbitCamera,Pay attention to your surroundings! Hold the [{0}] key to look around.,Game Tips
TipRaiseSail,Set sail! Raise sails by pressing [{0}] and lower them by pressing [{1}].,Game Tips
TipReticleDesign,Customise your crosshair's appearance through the ‘game’ settings.,Game Tips
TipRecruitmentChat,The recruitment chat channel can be toggled off through the ‘game’ settings.,Game Tips
TipSwitchChannels,Switch between chat channels by pressing the [{0}] key while typing.,Game Tips
TipRiggingScout,Scout enemy vessels from a higher position by climbing to the fighting top. Look for an interaction icon next to the ship’s rigging.,Game Tips
TipSailWind,Take down your square-rigged sails by pressing the number keys when sailing into the wind. It will improve the ship’s manoeuvrability.,Game Tips
TipSailingDirection,Sail with the wind to gather a tactical advantage. The direction of the arrow on the minimap represents the direction the wind is coming from.,Game Tips
TipShipGuns,Larger calibre guns deal more damage and have greater range. Each and every vessel is equipped with a different arsenal.,Game Tips
TipShipStern,Make sure the ship’s stern stays out of harm's way! Significant damage will be dealt if destroyed.,Game Tips
TipSupportMusician,Pomp and circumstance. Support the rank and file with firearm accuracy by playing tunes into battle while playing as a Musician. Press [{0}] followed by a [{1}].,Game Tips
