source,target,context
TipSurgeonHealing,Hold the [{0}] key to heal other players while playing the surgeon class. You gather score when healing other players.,Game Tips
TipVoipSpeak,"Press [{0}] to speak to other players through VoIP. Ladies and gentleman, remember to be respectful.",Game Tips
TipOfficerIssueOrder,Steadfast the men. Issue orders with the infantry officer class by pressing the [{0}] key to provide the rank and file with firearm accuracy and melee damage bonuses.,Game Tips
TipReceivedBuffs,"Do your duty in the ranks. Line infantryman, grenadiers and guards receive firearm accuracy and melee damage bonuses by following an officer’s command.",Game Tips
TipSkirmish,Not too keen on standing in ranks? Skirmish with the rifleman or light infantry classes and pick targets from a distance.,Game Tips
TipSapperConstruct,Fortify strategic positions with the sapper class. Press [{0}] to equip your hammer and construct defences.,Game Tips
TipArtillery,Support the fight from the rear with artillery. Cannoneer and rocketeer classes excel at destroying fortified emplacements.,Game Tips
TipFlagBearer,Parade your faction’s colours in the field of battle. Improve the rate at which firearms are reloaded when playing with the flag bearer class.,Game Tips
TipWaveSpawn,Spawning in waves. Use this as an opportunity to assemble and organise.,Game Tips
TipLimitedReinforcements,"Limited reinforcements! Be sure to strategise and co-ordinate. If they deplete, you’ll be unable to spawn anymore.",Game Tips
TipCapturePoints,Control and conquer! Defend and capture objectives around the map to become victorious. Captured objectives serve as forward spawn positions.,Game Tips
TipStrategicCapture,Play together! Co-ordinate assaults and devise strategies. Objectives cannot be captured unless your team is in greater numbers.,Game Tips
TipSiegeAttackers,Attackers! Capture all primary objectives before the timer runs out. Co-ordinate assaults and use artillery to breach defences. Loss of life from the ‘forlorn hope’ is a necessary sacrifice.,Game Tips
TipSiegeDefenders,Defenders! Prevent the assaulting forces from capturing your primary objectives. You need to survive until the round timer runs out with limited reinforcement. Make good use of cover.,Game Tips
TipSingleLife,Single life! You will have to wait for the round to finish before you can respawn should you meet your end. Make sure to use it well.,Game Tips
TipMeleeArena,Best your opponents in the melee arena! Devise strategies and time your strikes. Blocking is key to winning the match.,Game Tips
TipDeathmatch,An all-out brawl! Reach a set number of kills to become victorious.,Game Tips
TipSinkVessels,Sink enemy ships! Make good use of chain and round shot to sink enemy vessels. Work with your crew mates towards this goal.,Game Tips
TipCoastalDefenders,Defenders! Prevent the invading forces from capturing your coastal fortification. Man the fort's guns and keep the invaders at bay.,Game Tips
TipCoastalAttackers,Invaders! Capture the opposing faction’s fortification. Make good use of rockets and cannon to breach defensive positions before marines and crewman land ashore.,Game Tips
TipEquipSpyglass,Sight friend or foe at a distance. Press the [{0}] key to equip the spyglass.,Game Tips
TipEquipLantern,Light your way through the dark or make known your position. Press [{0}] to equip the lantern.,Game Tips
TipRandomPiano,Enjoy a moment of respite and play a few tunes on the piano. You can find them inside buildings on various maps.,Game Tips
TipClassStats,"Classes come with their own unique traits, abilities and equipment loadouts. Select the ‘attributes’ and ‘equipment’ tabs in the spawn menu to determine which class suits best your playstyle.",Game Tips
TipStunOpponent,Bash your foe with melee secondary attacks when things get really up close and personal. Press [{0}] when wielding a melee weapon to stun your opponent.,Game Tips
Keys,English,Round Notifications
Round 0  Fight,Round {0} - Fight!,Round Notifications
has joined the round,has joined the round,Round Notifications
has left the round,has left the round,Round Notifications
Keys,English,Spawning UI Timer
Spawning,Spawning,Spawning UI Timer
Keys,English,Death Screen Panel
Be careful next time,be careful next time,Death Screen Panel
Damaged your teammate,Damaged your teammate,Death Screen Panel
Deserter,Deserter,Death Screen Panel
Drowned,Drowned,Death Screen Panel
Explosion Shrapnel,Explosion Shrapnel,Death Screen Panel
Failed to adhere by the rules,Failed to adhere by the rules,Death Screen Panel
Fall Damage,Fall Damage,Death Screen Panel
Height,Height:,Death Screen Panel
Menu,Menu,Death Screen Panel
Slain by an Administrator,Slain by an Administrator,Death Screen Panel
Spectate,Spectate,Death Screen Panel
You Died,You Died,Death Screen Panel
You were killed by,You were killed by,Death Screen Panel
Keys,English,Pause Menu
Credits,Credits,Pause Menu
Disconnect,Disconnect,Pause Menu
Discord,Join Discord,Pause Menu
News,News,Pause Menu
Options,Options,Pause Menu
Profile,Profile,Pause Menu
Quit,Quit,Pause Menu
Spawn,Spawn,Pause Menu
Keys,English,Options
Audio/Ambiance,Ambience,Options
Audio/Announcer,Announcer,Options
Audio/Artillery,Artillery,Options
Audio/Audio,Audio,Options
Audio/Audio Device,Audio Device,Options
Audio/Character Phrases,Character Phrases,Options
Audio/Footsteps,Footsteps,Options
Audio/Listen Locally,Test Microphone,Options
Audio/Master,Master,Options
Audio/Master Volumes,Master Volumes,Options
Audio/Menu Music,Menu Music,Options
Audio/Microphone,Microphone,Options
Audio/Music Volumes,Music Volumes,Options
Audio/Musician Songs,Musician Songs,Options
Audio/Speaker Mode,Speaker Mode,Options
Audio/The Speaker Mode can only be adjusted from the main menu,The speaker mode can only be adjusted from the main menu,Options
Audio/VOIP,VOIP,Options
Audio/Weapon Fire,Weapon Fire,Options
Audio/Weather,Weather,Options
Game,Game,Options
Game/Aiming Firearm,Aiming Firearm,Options
Game/Auto Bayonet Switch,Auto Bayonet Switch,Options
Game/Bounce,Bounce,Options
Game/Chat/RecruitChannel,Recruit Channel,Options
Game/Cinematic/DeadX,Yaw Sensitivity,Options
Game/Cinematic/DeadY,Pitch Sensitivity,Options
Game/Cinematic/RotX,Yaw Speed,Options
Game/Cinematic/RotY,Pitch Speed,Options
Game/CinematicCamera,Cinematic Camera,Options
Game/Crosshair/Blue,Blue,Options
Game/Crosshair/Crosshair Configuration,Crosshair Configuration,Options
Game/Crosshair/Crosshair1,Default,Options
Game/Crosshair/Crosshair2,Arrow,Options
Game/Crosshair/Crosshair3,Fancy,Options
Game/Crosshair/Crosshair4,Line,Options
Game/Crosshair/Crosshair5,Nail,Options
Game/Crosshair/DynamicCrosshair,Dynamic Crosshair,Options
Game/Crosshair/Green,Green,Options
Game/Crosshair/Preview,Preview,Options
Game/Crosshair/Red,Red,Options
Game/Crosshair/Style,Style,Options
Game/Crosshair/Transparency,Transparency,Options
Game/Crosshair/WarningMessage,Crosshair changes are only visible upon spawning,Options
Game/Custom Name,Custom Name,Options
Game/Field Of View,Field Of View,Options
Game/Freeflight/CinematicMode,Cinematic Mode,Options
Game/Freeroam Camera,Freeroam Camera,Options
Game/Global Sensitivity,Global Sensitivity,Options
Game/Invert Mouse Y,Invert Mouse Y,Options
Game/Maximum Corpses,Maximum Corpses,Options
Game/Melee Cam Distance,Melee Cam Distance,Options
Game/Melee Combat,Melee Combat,Options
Game/Mouse Sensitivity,Mouse Sensitivity,Options
Game/Normal Speed,Normal Speed,Options
Game/Other,Other,Options
Game/Playe Name Settings can only be adjusted from the Main Menu,Player name settings can only be adjusted from the main menu,Options
Game/Player Name,Player Name,Options
Game/Ragdoll Corpses,Ragdoll Corpses,Options
Game/Same Attack Sensitivity,Same Attack Sensitivity,Options
Game/Seconds InGame,Seconds in-Game,Options
Game/Show Player Names,Show Player Names,Options
Game/UI/Broadcasted Messages,Broadcasted Messages,Options
Game/UI/Buffs Indicators,Buffs Indicators,Options
Game/UI/CenterScreen Dot,Center-Screen Dot,Options
Game/UI/Chat,Chat,Options
Game/UI/Crosshair,Crosshair,Options
Game/UI/Friendly Indicator,Friendly Indicator,Options
Game/UI/Friendly Nametags,Friendly Nametags,Options
Game/UI/Health  Weapon,Health & Weapon,Options
Game/UI/Interaction Indicators,Interaction Indicators,Options
Game/UI/Kill Feed,Kill Feed,Options
Game/UI/LatencyIndicator,Latency Indicator,Options
Game/UI/LatencyWarning,Latency Warning,Options
Game/UI/Minimap,Minimap,Options
Game/UI/Objectives Panel,Objectives Panel,Options
Game/UI/Personal Score,Personal Score,Options
Game/UI/Player Joined Notifications,Player Joined Notifications,Options
Game/UI/Reload Indicator,Reload Indicator,Options
Game/UI/Round Info Panel,Round Info Panel,Options
Game/UI/Show Announcer,Show Announcer,Options
Game/UI/Show Server Name,Show Server Name,Options
Game/UI/Spectating Text,Spectating Text,Options
Game/UI/VOIP Markers,Voip Markers,Options
Game/Upload Error Log,Upload Error Log,Options
Game/Use Steam Name,Use Steam Name,Options
Game/UI/EmplacementHealthIndicator,Emplacement Health Indicator,Options
Game/UI/OfficerOrderLineIndicatorMarker,Officer Line Indicator Marker,Options
Game/UI/OfficerOrderReinforceIndicatorMarker,Officer Reinforce Indicator Marker,Options
Game/User Interface,User Interface,Options
Keys,Keys,Options
Keys/1st 3rd Person Camera,1st 3rd Person Camera,Options
Keys/Administration Console,Administration Console,Options
Keys/Aim Firearm,Aim Firearm,Options
Keys/Artillery Weapons,Artillery Weapons,Options
Keys/Auto Run,Auto Run,Options
Keys/Backward,Backward,Options
Keys/Cameras,Cameras,Options
Keys/Change Chat Channel,Change Chat Channels,Options
Keys/Chat,Chat,Options
Keys/ChatTitle,Chat Configuration,Options
Keys/Communications,Communications,Options
Keys/Crouch,Crouch,Options
Keys/Down,Down,Options
Keys/Equip Lantern,Equip Lantern,Options
Keys/Equip Musical Instrument,Equip Musical Instrument,Options
Keys/Equip Spyglass,Equip Spyglass,Options
Keys/Fire Firearm,Fire Firearm,Options
Keys/Firearm Weapons,Firearm Weapons,Options
Keys/Forward,Forward,Options
Keys/Freeroam Camera,Freeroam Camera,Options
Keys/Interact,Interact,Options
Keys/Inventory,Inventory,Options
Keys/Jump,Jump,Options
Keys/Last Voice Command,Last Voice Command,Options
Keys/Left,Left,Options
Keys/Lower Next Sail,Lower Next Sail,Options
Keys/Melee Attack,Melee Attack,Options
Keys/Melee Block,Melee Block,Options
Keys/Melee Weapons,Melee Weapons,Options
Keys/Melee Bash,Melee Bash,Options
Keys/Miscellaneous,Miscellaneous,Options
Keys/Move Backwards,Move Backwards,Options
Keys/Move Forward,Move Forward,Options
Keys/Movement,Movement,Options
Keys/Musicians,Musicians,Options
Keys/Mute Players Window,Mute Players Window,Options
Keys/Open Music Panel,Open Music Panel,Options
Keys/Orbit Camera,Orbit Camera,Options
Keys/Patriotic Cheer,Patriotic Cheer,Options
Keys/Push To Talk,Push To Talk,Options
Keys/Raise Next Sail,Raise Next Sail,Options
Keys/Reload Firearm,Reload Firearm,Options
Keys/Right,Right,Options
Keys/Rotate Down,Rotate Down,Options
Keys/Rotate Left,Rotate Left,Options
Keys/Rotate Right,Rotate Right,Options
Keys/Rotate Up,Rotate Up,Options
Keys/Row Backwards,Row Backwards,Options
Keys/Row Boats,Row Boats,Options
Keys/Row Forward,Row Forward,Options
Keys/Sailing Ships,Sailing Ships,Options
Keys/Scoreboard,Scoreboard,Options
Keys/Shout Insult,Shout Insult,Options
Keys/Sprint,Sprint,Options
Keys/Steer Left,Steer Left,Options
Keys/Steer Right,Steer Right,Options
Keys/Stop Playing Song,Stop Playing Song,Options
Keys/Strafe Left,Strafe Left,Options
Keys/Strafe Right,Strafe Right,Options
Keys/Toggle Melee Firearm,Toggle Melee Firearm,Options
Keys/Toggle User Interface,Toggle User Interface,Options
Keys/ReinforceOrder,Reinforce Order,Options
Keys/FormLineOrder,Form Line Order,Options
Keys/FireAtWillOrder,Fire at Will Order,Options
Keys/ChargeOrder,Charge Order,Options
Keys/MakeReady,Make Ready Order,Options
Keys/Fire,Fire Order,Options
Keys/CeaseFire,Cease Fire Order,Options
Keys/BreakRankAndFollow,Break Rank & Follow Order,Options
Keys/Up,Up,Options
Keys/Voices Panel,Voices Panel,Options
Keys/ModeSelection,Mode Selection,Options
Keys/Sappers,Sappers,Options
Keys/Officers,Officers,Options
Keys/ToggleOfficerWindow,Issue Orders Bar,Options
Keys/EquipHammer,Equip Hammer,Options
Keys/Walk Run,Walk Run,Options
Options,Options,Options
Sprint Speed,Sprint Speed,Options
Values/1800s,1800s,Options
Values/Default,Default,Options
Values/Extreme,Extreme,Options
Values/FXAA,Fxaa,Options
Values/Gritty,Gritty,Options
Values/High,High,Options
Values/KeyCodes/Back Quote,Back Quote,Options
Values/KeyCodes/Backspace,Backspace,Options
Values/KeyCodes/Down Arrow,Down Arrow,Options
Values/KeyCodes/Enter,Enter,Options
Values/KeyCodes/Left Alt,Left Alt,Options
Values/KeyCodes/Left Arrow,Left Arrow,Options
Values/KeyCodes/Left Click,Left Click,Options
Values/KeyCodes/Left Control,Left Control,Options
Values/KeyCodes/Left Shift,Left Shift,Options
Values/KeyCodes/Middle Click,Middle Click,Options
Values/KeyCodes/Mouse Button 3,Mouse Button 3,Options
Values/KeyCodes/Mouse Button 4,Mouse Button 4,Options
Values/KeyCodes/Mouse Button 5,Mouse Button 5,Options
Values/KeyCodes/Mouse Button 6,Mouse Button 6,Options
Values/KeyCodes/Right Alt,Right Alt,Options
Values/KeyCodes/Right Arrow,Right Arrow,Options
Values/KeyCodes/Right Click,Right Click,Options
Values/KeyCodes/Right Control,Right Control,Options
Values/KeyCodes/Scroll Lock,Scroll Lock,Options
Values/KeyCodes/Space,Space,Options
Values/KeyCodes/Tab,Tab,Options
Values/KeyCodes/Up Arrow,Up Arrow,Options
Values/Low,Low,Options
Values/Medium,Medium,Options
Values/Normal,Normal,Options
Values/Off,Off,Options
Values/SpeakerMode/5 Speaker Surround,5 Speaker Surround,Options
Values/SpeakerMode/51 Surround,5.1 Surround,Options
Values/SpeakerMode/71 Surround,7.1 Surround,Options
Values/SpeakerMode/Dolby Pro Logic 51,Dolby Pro Logic 5.1,Options
Values/SpeakerMode/Mono,Mono,Options
Values/SpeakerMode/Quad,Quad,Options
Values/SpeakerMode/Stereo,Stereo,Options
Values/TAA,Taa,Options
Values/Ultra,Ultra,Options
Values/Very High,Very High,Options
Values/Very Low,Very Low,Options
Video,Video,Options
Video/Advanced,Advanced,Options
Video/Ambient Occlusion,Ambient Occlusion,Options
Video/Anisotropic Textures,Anisotropic Textures,Options
Video/Antialiasing,Antialiasing,Options
Video/Blend Weights,Animation Quality,Options
Video/Bloom,Bloom,Options
Video/Brightness,Brightness,Options
Video/Cannonball Trails,Cannonball Trails,Options
Video/Color Adjustments,Color Adjustments,Options
Video/Color Profile,Color Profile,Options
Video/Contact Shadows,Contact Shadows,Options
Video/Contrast,Contrast,Options
Video/Depth Of Field,Depth Of Field,Options
Video/Display,Display,Options
Video/FPS Limit,Fps Limit,Options
Video/Framerate,Framerate,Options
Video/Fullscreen,Fullscreen,Options
Video/Graphics Preset,Graphics Preset,Options
Video/Grass Density,Grass Density,Options
Video/Grass Distance,Grass Distance,Options
Video/LOD Quality,LOD Quality,Options
Video/Lens Dirt Effects,Lens Dirt Effects,Options
Video/Lens Flare,Lens Flare,Options
Video/Ocean Quality,Ocean Quality,Options
Video/Resolution,Resolution,Options
Video/Shadow Distance,Shadow Distance,Options
Video/Shadow Quality,Shadow Quality,Options
Video/Sharpen Image,Sharpen Image,Options
Video/Skybox Quality,Skybox Quality,Options
Video/Sun Rays,Light Rays,Options
Video/Texture Quality,Texture Quality,Options
Video/VSYNC,VSYNC,Options
Video/Vignetting,Vignetting,Options
Video/Volumetric Lights,Volumetric Lights,Options
Values/ShortKeyCodes/BackQuote,`,Options
Values/ShortKeyCodes/Backspace,BCK,Options
Values/ShortKeyCodes/Return,ENT,Options
Values/ShortKeyCodes/UpArrow,ARU,Options
Values/ShortKeyCodes/LeftArrow,ARL,Options
Values/ShortKeyCodes/RightArrow,ARR,Options
Values/ShortKeyCodes/DownArrow,ARD,Options
Values/ShortKeyCodes/Mouse0,LMB,Options
Values/ShortKeyCodes/Mouse1,RMB,Options
Values/ShortKeyCodes/Mouse2,MMB,Options
Values/ShortKeyCodes/Mouse3,MB3,Options
Values/ShortKeyCodes/Mouse4,MB4,Options
Values/ShortKeyCodes/Mouse5,MB5,Options
Values/ShortKeyCodes/Mouse6,MB6,Options
Values/ShortKeyCodes/LeftControl,LCT,Options
Values/ShortKeyCodes/RightControl,RCT,Options
Values/ShortKeyCodes/LeftShift,LSH,Options
Values/ShortKeyCodes/RightShift,RSH,Options
Values/ShortKeyCodes/LeftAlt,LAT,Options
Values/ShortKeyCodes/RightAlt,RAT,Options
Values/ShortKeyCodes/Space,SPC,Options
Values/ShortKeyCodes/Tab,TAB,Options
Values/ShortKeyCodes/Insert,INS,Options
Values/ShortKeyCodes/Home,HOM,Options
Values/ShortKeyCodes/Alpha0,0,Options
Values/ShortKeyCodes/Alpha1,1,Options
Values/ShortKeyCodes/Alpha2,2,Options
Values/ShortKeyCodes/Alpha3,3,Options
Values/ShortKeyCodes/Alpha4,4,Options
Values/ShortKeyCodes/Alpha5,5,Options
Values/ShortKeyCodes/Alpha6,6,Options
Values/ShortKeyCodes/Alpha7,7,Options
Values/ShortKeyCodes/Alpha8,8,Options
Values/ShortKeyCodes/Alpha9,9,Options
Values/ShortKeyCodes/Keypad0,K0,Options
Values/ShortKeyCodes/Keypad1,K1,Options
Values/ShortKeyCodes/Keypad2,K2,Options
Values/ShortKeyCodes/Keypad3,K3,Options
Values/ShortKeyCodes/Keypad4,K4,Options
Values/ShortKeyCodes/Keypad5,K5,Options
Values/ShortKeyCodes/Keypad6,K6,Options
Values/ShortKeyCodes/Keypad7,K7,Options
Values/ShortKeyCodes/Keypad8,K8,Options
Values/ShortKeyCodes/Keypad9,K9,Options
Values/ShortKeyCodes/KeypadPeriod,.,Options
Values/ShortKeyCodes/KeypadDivide,/,Options
Values/ShortKeyCodes/KeypadMultiply,*,Options
Values/ShortKeyCodes/KeypadMinus,MIN,Options
Values/ShortKeyCodes/KeypadPlus,+,Options
Values/ShortKeyCodes/KeypadEnter,ENT,Options
Values/ShortKeyCodes/KeypadEquals,=,Options
Values/ShortKeyCodes/PageUp,PGU,Options
Values/ShortKeyCodes/PageDown,PGD,Options
Values/ShortKeyCodes/Numlock,NLK,Options
Values/ShortKeyCodes/CapsLock,CLK,Options
Values/ShortKeyCodes/ScrollLock,SLK,Options
Values/ShortKeyCodes/Help,HLP,Options
Values/ShortKeyCodes/Print,PRT,Options
Values/ShortKeyCodes/SysReq,SYS,Options
Values/ShortKeyCodes/Break,BRK,Options
Values/ShortKeyCodes/Menu,MNU,Options
Values/ShortKeyCodes/RightBracket,],Options
Values/ShortKeyCodes/LeftBracket,[,Options
Values/ShortKeyCodes/Backslash,\,Options
Values/ShortKeyCodes/Equals,=,Options
Values/ShortKeyCodes/Semicolon,;,Options
Values/ShortKeyCodes/Colon,:,Options
Values/ShortKeyCodes/Slash,/,Options
Values/ShortKeyCodes/Period,.,Options
Values/ShortKeyCodes/Minus,MIN,Options
Values/ShortKeyCodes/Comma,",",Options
Values/ShortKeyCodes/Plus,+,Options
Values/ShortKeyCodes/Asterisk,*,Options
Values/ShortKeyCodes/Quote,',Options
Values/ShortKeyCodes/Pause,PSE,Options
Values/ShortKeyCodes/Escape,ESC,Options
Values/ShortKeyCodes/Clear,CLR,Options
Video/Preset,Preset,Options
Keys,English,Change Language Panel
Change,Change,Change Language Panel
Change Language,Change Language,Change Language Panel
Language,Language,Change Language Panel
Languages,Languages,Change Language Panel
Keys,English,Main Menu Development Panel
Forum,Forum,Main Menu Development Panel
Join Discord Participate in organised events,Join Discord! Participate in organised events.,Main Menu Development Panel
Report a bug,Report bug,Main Menu Development Panel
Thank you for supporting Holdfast Nations At War,Thank you for supporting Holdfast: Nations At War!,Main Menu Development Panel
View roadmap,View roadmap,Main Menu Development Panel
We are actively developing the game based on community feedback Work on improving melee combat is ongoing to continue promote competitiveness  Anvil Game Studios,We are actively developing the game based on community feedback. Work on improving melee combat is ongoing to continue promote competitiveness. - <b>Anvil Game Studios</b>,Main Menu Development Panel
Keys,English,Connection Errors
AlreadyConnectedHeader,Already Connected,Connection Errors
YouAreStillConnected,You are still connected to the server. Wait a short while longer before attempting to re-join.,Connection Errors
BannedByAdministratorHeader,Banned By Administrator,Connection Errors
DeniedAccessToTheServer,You have been denied access to the server.,Connection Errors
ContactServerAdministratorToAppeal,Contact the server administrator in question to appeal your ban.,Connection Errors
KickedByAdministratorHeader,Kicked By Administrator,Connection Errors
YouHaveBeenKickedByAnAdministrator,You have been kicked by an administrator.,Connection Errors
EnsureToAbideByTheRules,Ensure that you abide by the rules of the server.,Connection Errors
GameClientNotUpdatedHeader,Game Client Not Updated,Connection Errors
GameClientNotUpdated,Holdfast: Nations At War has been updated! Restart the game to download the latest version.,Connection Errors
DownloadBySteamInstructionTitle,You can force Steam to download the latest version by doing the following:,Connection Errors
DownloadBySteamInstructionBody,"1. Exit Holdfast: Nations At War.
2. Locate Holdfast: Nations At War in your Steam game library.
3. Right Click on Holdfast: Nations At War then select ‘Properties’ from the dropdown menu.
4. Go to the ‘Local Files’ tab.
5. Click on the ‘Verify Integrity Of Game Files…’ button.
6. Wait until Steam finishes verifying game files then relaunch the game.",Connection Errors
GameServerNotUpdatedHeader,Game Server Not Updated,Connection Errors
GameServerNotUpdated,Game server is not up to date with the latest version of Holdfast: Nations War.,Connection Errors
ContactServerAdminToUpdateServer,Contact the server administrator in question to update the server.,Connection Errors
PasswordIsIncorrectHeader,Password Is Incorrect,Connection Errors
EnteredPasswordIsIncorrect,The password you entered is incorrect.,Connection Errors
PasswordsAreCaseSensitive,Passwords are case-sensitive. Ensure that your ‘Caps Lock’ key isn’t on.,Connection Errors
GameServerIsFullHeader,Game Server Is Full,Connection Errors
GameServerCurrentlyFull,Game server is currently full.,Connection Errors
JoinAnotherServerOrWaitForSlot,Please join another server or wait until a slot becomes available.,Connection Errors
ServerShutdownHeader,Server Shutdown,Connection Errors
ServerWasShutdown,Server was shut down. Please join another server to continue playing.,Connection Errors
DisconnectedHeader,Disconnected,Connection Errors
YouHaveBeenDisconnected,You have been disconnected from the server.,Connection Errors
YouMustBeConnectedToSteam,Ensure that you are not running Steam in ‘Offline Mode’. You must be connected to Steam in order to play.,Connection Errors
UnableToConnectHeader,Unable To Connect,Connection Errors
CheckInternetConnectionStability,You are unable to connect to the server. Ensure that your internet connection is stable.,Connection Errors
TroubleshootInstructionHeader,Attempting the below troubleshooting methods is also recommended:,Connection Errors
TroubleshootInstructionBody,"1. Log out then back in on Steam.
2. Restart your internet connection.
3. Restart your router.
4. Temporarily disable any anti-virus or firewall that may otherwise be blocking your connection.
5. Ensure that you are not operating behind a VPN.
6. Verify the integrity of your game files through Steam.
7. Ensure that you are not running Steam in 'Offline Mode'. You must be connected to Steam in order to play.
8. Go to your '\AppData\LocalLow\Anvil Game Studio' and delete the 'Holdfast NaW' folder.
8.1. Take a backup of the 'muteplayerschat' and 'muteplayersvoip' text files as these contain your muted player information.
9. Attempt to connect through a friend on Steam.
10. Try using another internet connection if available.",Connection Errors
RequestFurtherAssistance,Request further assistance on Discord. Error ID is {0}.,Connection Errors
SteamUnableToAuthenticateHeader,Steam Unable To Authenticate,Connection Errors
AuthenticateInstructionBody,"You are unable to authenticate with Steam. You must be connected to Steam in order to play.
Attempt the below troubleshooting method:

1. Log out from Steam.
2. Log back in on Steam.
3. Relaunch Holdfast: Nations At War.",Connection Errors
ServerMessageHeader,Server Message,Connection Errors
SteamConnectionHeader,Steam Connection,Connection Errors
Keys,English,Dialog Buttons
No,No,Dialog Buttons
Ok,Ok,Dialog Buttons
Yes,Yes,Dialog Buttons
Keys,English,Capture Point Notification Pane
Objective 0 lost,Objective {0} lost,Capture Point Notification Pane
Objective 0 taken,Objective {0} taken,Capture Point Notification Pane
Keys,English,Notifications
Ammobox,Ammobox,Notifications
Assister,You’re assisting another player move the cannon.,Notifications
BorderWarning,You’re going out of the battlefield. Sail back!,Notifications
BuildingMode,Construct,Notifications
CanPlaceLadder,You may drop the ladder at this position.,Notifications
CannotLoad,You cannot load your ammo in this artillery piece.,Notifications
CannotPlaceObject,You cannot place the object here.,Notifications
Chair,Chair,Notifications
ChevauxDeFriseLarge,Chevaux De Frise (L),Notifications
ChevauxDeFriseSmall,Chevaux De Frise (S),Notifications
DeconstructMode,Deconstruct,Notifications
Earthworks,Earthworks,Notifications
EmplacementBuildLimitExceeded,"Cannot build {0}, as there are too many objects of this type.",Notifications
EmplacementPlaced,{0} has been placed.,Notifications
EnemyShipCaptured,We have captured the enemy vessel {0}!,Notifications
EnemyShipSunk,We have sunk the enemy vessel {0}!,Notifications
ExitPositionError,Cannon is positioned too close to an object. You are unable to aim.,Notifications
ExplosiveBarrel,Explosive Barrel,Notifications
FriendlyShipCaptured,The allied vessel {0} has been captured!,Notifications
FriendlyShipSunk,The allied vessel {0} has been sunk!,Notifications
Gabion,Gabion,Notifications
HammerConstructMode,Construct,Notifications
HammerDeconstructMode,Deconstruct,Notifications
HammerNotEquipped,You need a hammer equipped to perform this action.,Notifications
InfantryStakes,Infantry Stakes,Notifications
Kicked,A Cannoneer has taken control of this artillery piece.,Notifications
LadderAssistJoined,A player is assisting you. The ladder can now be carried at a faster pace.,Notifications
LadderAssistLeft,You are no longer being assisted.,Notifications
LadderAssister,You're assisting another player to move the ladder.,Notifications
LadderKicked,A Carpenter has taken control of this ladder.,Notifications
LadderMover,You have control over the ladder. Press ‘{0}’ to move forward.,Notifications
LadderPlacedInPosition,The ladder has been placed in its position. You may press '{0}' to raise the ladder.,Notifications
Limit,Limit,Notifications
LoadingPositionError,Cannon is positioned too close to an object. You are unable to load.,Notifications
MaterialPoints,Material points,Notifications
Materials,Materials,Notifications
Mover,You have control over the cannon. Press ‘{0}’ to move forward.,Notifications
NeedAmmo,You are not carrying any ammunition.,Notifications
None,None,Notifications
NotEnoughMaterials,Your faction does not have enough materials to build this object.,Notifications
Palisade,Palisade,Notifications
RammingPositionError,Cannon is positioned too close to an object. You are unable to ram.,Notifications
RocketAssister,You're assisting another player to move the rocket launcher.,Notifications
RocketAssisterJoined,A player is assisting you. The launcher can now be carried at a faster pace.,Notifications
RocketAssisterLeft,You are no longer being assisted.,Notifications
RocketCannotMount,Rocket launcher cannot be unpacked close to an object. You are unable to unpack here.,Notifications
RocketKicked,A {0} has taken control of this artillery piece.,Notifications
RocketMover,You have control over the rocket launcher. Press ‘{0}’ to move forward.,Notifications
RocketPlayerClassCannotDismount,You must be a Cannoneer or Rocketeer to pack the rocket launcher.,Notifications
RocketPlayerClassCannotMount,You must be a Cannoneer or Rocketeer to unpack the rocket launcher.,Notifications
RocketStack,Rocket Stack,Notifications
RowboatAssist,You're assisting another player to manoeuvre the rowboat.,Notifications
RowboatSpawnBlocked,Unable to launch rowboat. Spawn is obstructed.,Notifications
Sandbag,Sandbag,Notifications
SelectionMode,Mode Selector,Notifications
ShootingPlatform,Palisade Platform,Notifications
SpadeConstructMode,Dig,Notifications
SpadeDeconstructMode,Undig,Notifications
SwitchedSapperMode,Switched mode to {0},Notifications
SwivelGun,Swivel Gun,Notifications
SwivelGunCannotCarryByClass,You must be a Sapper to carry the swivel gun.,Notifications
TooManyItemsLimit,Your faction cannot build more of this object.,Notifications
Keys,English,Warning Indicators
High Ping,High Ping,Warning Indicators
Unstable Ping,Uns. Ping,Warning Indicators
Server Performance,Server FPS,Warning Indicators
Client Performance,Client FPS,Warning Indicators
